dialect,n,bleu,bleu_ci,chrf,chrf_ci,rouge1,rouge1_ci,rougeL,rougeL_ci,meteor,meteor_ci,wer,wer_ci,cer,cer_ci,bertscore_f1,bertscore_f1_ci
Barisal,131,47.25,"[41.7, 53.3]",67.72,"[63.3, 72.1]",75.97,"[72.1, 79.6]",72.64,"[68.7, 76.6]",69.18,"[64.9, 73.4]",43.41,"[37.7, 48.6]",32.25,"[27.6, 36.6]",51.18,"[45.3, 57.4]"
Chittagong,130,39.62,"[34.6, 44.6]",62.96,"[58.8, 67.0]",72.14,"[68.4, 75.9]",69.31,"[65.3, 73.1]",63.31,"[59.4, 67.4]",49.79,"[44.6, 55.2]",36.58,"[32.3, 41.3]",39.97,"[32.8, 46.7]"
Mymensingh,130,48.77,"[43.5, 54.5]",70.56,"[66.9, 74.4]",78.22,"[74.7, 81.6]",75.27,"[71.7, 78.9]",70.89,"[66.9, 74.8]",39.77,"[34.3, 45.4]",29.73,"[25.3, 34.3]",57.57,"[51.1, 63.5]"
Noakhali,133,41.22,"[35.9, 46.3]",63.26,"[59.0, 67.2]",71.53,"[67.4, 75.2]",68.25,"[63.9, 72.0]",63.93,"[59.4, 67.9]",50.22,"[44.9, 56.9]",38.39,"[33.9, 43.9]",42.42,"[34.9, 49.4]"
Sylhet,136,42.02,"[36.5, 47.4]",61.39,"[56.5, 65.8]",71.11,"[67.2, 74.9]",68.18,"[63.9, 72.3]",64.73,"[60.0, 68.8]",48.48,"[42.8, 54.6]",37.01,"[32.3, 42.1]",36.67,"[28.0, 44.1]"
ALL,660,43.75,"[41.3, 46.2]",65.14,"[63.3, 67.1]",73.76,"[72.1, 75.6]",70.7,"[68.9, 72.7]",66.38,"[64.7, 68.3]",46.37,"[43.5, 48.9]",34.83,"[32.4, 37.0]",45.48,"[42.4, 49.0]"
